snr, 	uncoded, 	bp_k60_n140, 	gnn_k60_n140, 	bp_k120_n280, 	gnn_k120_n280, 	bp_k180_n420, 	gnn_k180_n420, 	bp_k120_n280, 	gnn_k120_n280, 	bp_k90_n280, 	gnn_k90_n280, 	bp_k150_n280, 	gnn_k150_n280, 	
0.000,	7.828000E-02,	1.463000E-01,	1.475857E-01,	1.503750E-01,	1.481893E-01,	1.518667E-01,	1.555524E-01,	1.498786E-01,	1.475607E-01,	1.360929E-01,	1.355643E-01,	1.342107E-01,	1.366286E-01,	
0.500,	6.871000E-02,	1.136143E-01,	1.033286E-01,	1.126179E-01,	1.126500E-01,	1.119738E-01,	1.134881E-01,	1.103143E-01,	1.089429E-01,	8.656429E-02,	9.592857E-02,	1.061893E-01,	1.075286E-01,	
1.000,	5.543000E-02,	7.574286E-02,	7.590714E-02,	6.605714E-02,	6.877857E-02,	6.139286E-02,	6.513571E-02,	6.851429E-02,	6.960714E-02,	4.821071E-02,	5.431786E-02,	7.020000E-02,	7.081786E-02,	
1.500,	4.649000E-02,	4.859286E-02,	4.492857E-02,	3.554286E-02,	3.448750E-02,	2.709286E-02,	3.204286E-02,	3.252679E-02,	3.541786E-02,	2.304286E-02,	2.514107E-02,	3.702500E-02,	4.024286E-02,	
2.000,	3.745000E-02,	2.291905E-02,	2.300476E-02,	1.250476E-02,	1.192381E-02,	7.388095E-03,	8.544444E-03,	1.297857E-02,	1.203333E-02,	7.150714E-03,	7.521429E-03,	1.346429E-02,	1.444286E-02,	
2.500,	3.012000E-02,	1.117429E-02,	9.100000E-03,	3.271825E-03,	3.005804E-03,	1.336429E-03,	1.443915E-03,	3.310317E-03,	2.966518E-03,	1.965934E-03,	2.030519E-03,	3.533571E-03,	3.815714E-03,	
3.000,	2.321000E-02,	3.815934E-03,	3.188776E-03,	6.604167E-04,	4.759653E-04,	1.303411E-04,	1.196901E-04,	6.825510E-04,	5.133117E-04,	4.354396E-04,	4.254252E-04,	6.644481E-04,	5.651786E-04,	
3.500,	1.704000E-02,	1.284363E-03,	8.897010E-04,	6.903571E-05,	5.853571E-05,	1.033333E-05,	5.738095E-06,	7.589286E-05,	6.600000E-05,	6.882143E-05,	5.210714E-05,	7.517857E-05,	5.617857E-05,	
4.000,	1.271000E-02,	3.055000E-04,	2.321429E-04,	5.928571E-06,	1.571429E-06,	5.238095E-07,	4.523810E-07,	1.021429E-05,	3.250000E-06,	8.285714E-06,	8.785714E-06,	8.035714E-06,	4.107143E-06,	
4.500,	8.160000E-03,	8.014286E-05,	5.014286E-05,	1.428571E-07,	1.535714E-06,	0.000000E+00,	1.666667E-07,	1.035714E-06,	0.000000E+00,	0.000000E+00,	7.500000E-07,	1.392857E-06,	3.928571E-07,	
5.000,	6.260000E-03,	1.414286E-05,	5.428571E-06,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,	0.000000E+00,